#                                                                                                        --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                                 accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                                         ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
VITVvi_vCabSauv08_v1.1_Haplotig000123F_011.ver1.0.g217250.t01 -          Pkinase              PF00069.31  2.4e-195  642.7  10.3   1.8e-49  164.5   0.2   6.2   4   2   2   6   6   6   6 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000489F.ver1.0.g613580.t01      -          Pkinase              PF00069.31  2.7e-145  478.6   0.0   6.4e-47  156.1   0.0   4.2   4   0   0   4   4   4   4 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000206F_002.ver1.0.g241850.t01 -          Pkinase              PF00069.31  1.1e-142  470.1   0.0   6.9e-48  159.3   0.0   3.2   3   0   0   3   3   3   3 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000107F_010.ver1.0.g208900.t01 -          Pkinase              PF00069.31  1.5e-142  469.6   8.0   1.4e-46  155.0   0.1   4.2   4   0   0   4   4   4   4 | TM
VITVvi_vCabSauv08_v1.1_Primary000030F.ver1.0.g391290.t01      -          Pkinase              PF00069.31  2.3e-135  446.1   0.0   4.9e-47  156.5   0.0   3.3   3   0   0   3   3   3   3 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000030F_012.ver1.0.g131180.t02 -          Pkinase              PF00069.31  3.5e-133  438.9   0.0   2.9e-45  150.7   0.0   3.3   3   0   0   3   3   3   3 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000030F_012.ver1.0.g131180.t01 -          Pkinase              PF00069.31  9.5e-133  437.5   0.0   4.1e-45  150.2   0.0   3.3   3   0   0   3   3   3   3 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000024F_009.ver1.0.g114070.t01 -          Pkinase              PF00069.31  1.9e-120  397.2   0.7   4.4e-47  156.7   0.0   4.2   3   1   1   4   4   4   4 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000203F.ver1.0.g564560.t01      -          Pkinase              PF00069.31  1.4e-119  394.4   0.0   1.1e-36  122.6   0.0   4.4   4   0   0   4   4   4   4 | TM
VITVvi_vCabSauv08_v1.1_Primary000030F.ver1.0.g391170.t01      -          Pkinase              PF00069.31  5.2e-118  389.2   0.0   6.5e-42  139.7   0.0   3.3   3   0   0   3   3   3   3 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000026F.ver1.0.g376070.t01      -          Pkinase              PF00069.31  9.1e-116  381.8   0.7   2.6e-46  154.1   0.0   4.2   3   1   1   4   4   4   4 | SP+TM
