#                                                                                             --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                      accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                              ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
VITVvi_vZin03_v1.1_P22.ver1.0.g327520.p01          -          LRR_6                PF13516.12   6.1e-22   75.0  64.0      0.11   11.7   0.1  18.7  16   3   3  19  19  10   3 | SP
VITVvi_vZin03_v1.1_P171.ver1.0.g289350.p01         -          LRR_6                PF13516.12   1.6e-18   64.3  88.6     0.089   12.0   0.3  25.9  29   0   0  29  29  10   1 | SP
VITVvi_vZin03_v1.1_P249.ver1.0.g341380.p01         -          LRR_6                PF13516.12   1.6e-18   64.3  63.8   0.00027   19.8   0.3  18.1  20   0   0  20  20   8   2 | SP+TM
VITVvi_vZin03_v1.1_H000087F_009.ver1.0.g121060.p01 -          LRR_6                PF13516.12   1.4e-17   61.4  33.3      0.11   11.7   0.3  13.8  14   0   0  14  14   8   1 | SP
VITVvi_vZin03_v1.1_H000125F_002.ver1.0.g138310.p01 -          LRR_6                PF13516.12   1.4e-17   61.4  43.1      0.22   10.7   0.1  17.8  18   0   0  18  18   5   1 | SP+TM
VITVvi_vZin03_v1.1_P110.ver1.0.g224780.p01         -          LRR_6                PF13516.12   1.4e-17   61.3  43.4      0.22   10.7   0.1  17.9  18   0   0  18  18   5   1 | SP+TM
VITVvi_vZin03_v1.1_H000019F_012.ver1.0.g053860.p01 -          LRR_6                PF13516.12   3.3e-17   60.2  81.2      0.14   11.4   0.1  21.1  20   3   3  23  23  10   2 | SP
VITVvi_vZin03_v1.1_P68.ver1.0.g485320.p01          -          LRR_6                PF13516.12   1.8e-16   57.9  48.2     0.077   12.2   0.4  14.4  15   0   0  15  15   7   2 | SP
VITVvi_vZin03_v1.1_P208.ver1.0.g319480.p01         -          LRR_6                PF13516.12   3.1e-15   54.0 105.7      0.27   10.5   1.2  26.2  28   0   0  28  28  13   1 | SP+TM
VITVvi_vZin03_v1.1_H000099F_005.ver1.0.g125720.p01 -          LRR_6                PF13516.12     4e-15   53.7  29.8      0.11   11.7   0.1  12.2  12   0   0  12  12   5   1 | TM
VITVvi_vZin03_v1.1_H000448F_001.ver1.0.g193600.p01 -          LRR_6                PF13516.12   5.9e-15   53.1 119.8     0.016   14.3   0.7  28.3  31   0   0  31  31   9   3 | TM
VITVvi_vZin03_v1.1_P138.ver1.0.g251660.p01         -          LRR_6                PF13516.12   9.3e-15   52.5  57.3      0.06   12.5   0.3  18.5  20   0   0  20  20   7   1 | SP
VITVvi_vZin03_v1.1_H000079F_014.ver1.0.g113870.p01 -          LRR_6                PF13516.12   1.2e-14   52.1  66.5     0.048   12.8   0.4  17.2  19   0   0  19  19   7   2 | SP+TM
VITVvi_vZin03_v1.1_P75.ver1.0.g496630.p01          -          LRR_6                PF13516.12   1.4e-14   52.0  30.9      0.11   11.7   0.1  12.1  12   0   0  12  12   5   1 | TM
VITVvi_vZin03_v1.1_P71.ver1.0.g491630.p01          -          LRR_6                PF13516.12   1.5e-14   51.9  33.6     6e-05   21.9   0.8   9.9  10   0   0  10  10   6   3 | SP
VITVvi_vZin03_v1.1_H000006F_023.ver1.0.g026650.p01 -          LRR_6                PF13516.12   3.5e-14   50.7  50.9      0.83    8.9   0.1  17.2  19   0   0  19  19   8   0 | SP
VITVvi_vZin03_v1.1_P339.ver1.0.g384140.p01         -          LRR_6                PF13516.12   3.9e-14   50.6  68.0      0.12   11.6   0.3  18.6  19   0   0  19  19   8   1 | TM
VITVvi_vZin03_v1.1_H000232F_006.ver1.0.g175810.p01 -          LRR_6                PF13516.12   5.6e-14   50.1  62.4      0.16   11.2   2.0  15.7  16   0   0  16  16  10   1 | SP+TM
VITVvi_vZin03_v1.1_P188.ver1.0.g302390.p01         -          LRR_6                PF13516.12   5.6e-14   50.1  62.4      0.16   11.2   2.0  15.7  16   0   0  16  16  10   1 | SP+TM
VITVvi_vZin03_v1.1_P83.ver1.0.g509400.p01          -          LRR_6                PF13516.12   8.8e-14   49.5  34.6      0.21   10.8   0.3  13.8  14   0   0  14  14   5   1 | SP+TM
VITVvi_vZin03_v1.1_P677.ver1.0.g484510.p01         -          LRR_6                PF13516.12   2.4e-13   48.1  25.7     0.032   13.3   0.2  11.8  12   0   0  12  12   5   2 | TM
VITVvi_vZin03_v1.1_P291.ver1.0.g362520.p01         -          LRR_6                PF13516.12     3e-13   47.8  38.4     0.032   13.4   0.1  10.2  11   0   0  11  11   6   5 | SP
VITVvi_vZin03_v1.1_H000084F_006.ver1.0.g118410.p01 -          LRR_6                PF13516.12   3.5e-13   47.6  30.6      0.17   11.1   0.8  12.0  13   0   0  13  13   6   1 | TM
VITVvi_vZin03_v1.1_H000001F_033.ver1.0.g006390.p01 -          LRR_6                PF13516.12   6.8e-13   46.7  51.9      0.44    9.8   0.3  16.1  18   0   0  18  18   6   3 | SP
VITVvi_vZin03_v1.1_P138.ver1.0.g251760.p01         -          LRR_6                PF13516.12   8.7e-13   46.4  61.5     0.046   12.8   0.1  19.7  23   0   0  23  23   7   1 | SP
VITVvi_vZin03_v1.1_P53.ver1.0.g453150.p01          -          LRR_6                PF13516.12     1e-12   46.1  52.8     0.027   13.6   0.1  12.3  13   0   0  13  13   6   4 | SP+TM
VITVvi_vZin03_v1.1_P28.ver1.0.g357680.p01          -          LRR_6                PF13516.12   1.1e-12   46.1  74.7     0.033   13.3   0.1  20.7  22   0   0  22  22   7   2 | TM
VITVvi_vZin03_v1.1_P272.ver1.0.g353780.p01         -          LRR_6                PF13516.12   1.5e-12   45.7  72.1     0.093   11.9   0.2  18.6  19   0   0  19  19   7   1 | TM
VITVvi_vZin03_v1.1_P53.ver1.0.g453140.p01          -          LRR_6                PF13516.12   1.7e-12   45.5  49.9    0.0063   15.6   0.3  10.5  11   0   0  11  11   6   5 | SP+TM
VITVvi_vZin03_v1.1_H000153F_005.ver1.0.g152850.p01 -          LRR_6                PF13516.12   2.3e-12   45.0  59.3     0.041   13.0   0.3  13.2  13   1   1  14  14   9   4 | SP+TM
VITVvi_vZin03_v1.1_P456.ver1.0.g429780.p01         -          LRR_6                PF13516.12   2.3e-12   45.0 101.2      0.18   11.0   0.1  24.4  27   0   0  27  27   9   1 | SP+TM
VITVvi_vZin03_v1.1_P87.ver1.0.g515400.p01          -          LRR_6                PF13516.12   3.4e-12   44.5 118.5      0.46    9.7   0.1  27.8  30   1   0  30  30  12   1 | TM
VITVvi_vZin03_v1.1_P117.ver1.0.g230880.p01         -          LRR_6                PF13516.12   4.3e-12   44.2  83.0      0.35   10.1   0.0  22.2  23   0   0  23  23   8   2 | SP+TM
VITVvi_vZin03_v1.1_P138.ver1.0.g251680.p01         -          LRR_6                PF13516.12   8.7e-12   43.2  77.1     0.055   12.6   0.1  20.1  22   0   0  22  22   6   1 | SP
VITVvi_vZin03_v1.1_P68.ver1.0.g484920.p01          -          LRR_6                PF13516.12   1.1e-11   43.0  66.8     0.073   12.2   0.4  17.0  19   0   0  19  19   7   2 | SP+TM
VITVvi_vZin03_v1.1_P22.ver1.0.g327620.p01          -          LRR_6                PF13516.12   1.7e-11   42.3  47.1    0.0062   15.6   0.2  12.4  13   0   0  13  13   8   1 | SP
VITVvi_vZin03_v1.1_P71.ver1.0.g491600.p01          -          LRR_6                PF13516.12   2.4e-11   41.8  60.4   0.00026   19.9   0.8  16.0  18   0   0  18  18   5   3 | SP
VITVvi_vZin03_v1.1_P371.ver1.0.g395020.p01         -          LRR_6                PF13516.12     3e-11   41.6  74.5      0.23   10.7   0.0  18.8  20   0   0  20  20   7   2 | SP
VITVvi_vZin03_v1.1_P135.ver1.0.g250040.p01         -          LRR_6                PF13516.12   4.5e-11   41.0  52.6       2.1    7.7   0.1  17.1  18   0   0  18  18   5   0 | SP+TM
VITVvi_vZin03_v1.1_H000182F_002.ver1.0.g162260.p01 -          LRR_6                PF13516.12   6.7e-11   40.5  47.0       1.5    8.1   0.0  18.0  21   0   0  21  21   4   0 | TM
VITVvi_vZin03_v1.1_P108.ver1.0.g218000.p01         -          LRR_6                PF13516.12   6.8e-11   40.4  91.0      0.84    8.9   0.1  21.0  24   0   0  24  24   9   0 | SP+TM
VITVvi_vZin03_v1.1_P123.ver1.0.g239770.p01         -          LRR_6                PF13516.12     8e-11   40.2  51.3       1.8    7.9   0.1  15.8  16   0   0  16  16   5   0 | SP+TM
VITVvi_vZin03_v1.1_H000027F_017.ver1.0.g064660.p01 -          LRR_6                PF13516.12   8.8e-11   40.1   2.0       2.3    7.6   0.1   7.3   7   0   0   7   7   4   0 | SP
VITVvi_vZin03_v1.1_P25.ver1.0.g341890.p01          -          LRR_6                PF13516.12   8.9e-11   40.1   2.0       2.3    7.6   0.1   7.3   7   0   0   7   7   4   0 | SP
VITVvi_vZin03_v1.1_H000332F_002.ver1.0.g188040.p01 -          LRR_6                PF13516.12   1.1e-10   39.8  85.4   0.00031   19.6   0.3  21.2  25   0   0  25  25   7   2 | TM
VITVvi_vZin03_v1.1_P2.ver1.0.g312350.p01           -          LRR_6                PF13516.12   1.1e-10   39.8  47.7      0.73    9.1   0.3  15.5  17   0   0  17  17   5   0 | SP+TM
VITVvi_vZin03_v1.1_P344.ver1.0.g386140.p01         -          LRR_6                PF13516.12   1.6e-10   39.3  44.9      0.14   11.4   0.3  14.1  15   0   0  15  15   4   1 | SP+TM
VITVvi_vZin03_v1.1_P339.ver1.0.g384130.p01         -          LRR_6                PF13516.12     2e-10   39.0  81.5      0.76    9.1   0.2  20.2  22   0   0  22  22   7   0 | TM
VITVvi_vZin03_v1.1_H000568F_002.ver1.0.g196580.p01 -          LRR_6                PF13516.12     2e-10   39.0  44.9      0.14   11.4   0.3  13.9  15   0   0  15  15   4   1 | SP+TM
VITVvi_vZin03_v1.1_P87.ver1.0.g516400.p01          -          LRR_6                PF13516.12   2.1e-10   38.9  78.8      0.59    9.4   0.0  22.2  24   0   0  24  24   7   1 | SP+TM
VITVvi_vZin03_v1.1_P689.ver1.0.g486500.p01         -          LRR_6                PF13516.12   2.5e-10   38.7  37.7      0.53    9.6   0.1  12.6  13   0   0  13  13   5   1 | TM
VITVvi_vZin03_v1.1_P240.ver1.0.g338580.p01         -          LRR_6                PF13516.12   3.2e-10   38.3  84.6      0.55    9.5   0.2  22.4  24   0   0  24  24   7   1 | TM
VITVvi_vZin03_v1.1_H000011F_011.ver1.0.g035870.p01 -          LRR_6                PF13516.12   4.4e-10   37.9  12.5     0.088   12.0   0.3   7.2   8   0   0   8   8   4   2 | SP
VITVvi_vZin03_v1.1_P11.ver1.0.g221810.p01          -          LRR_6                PF13516.12   4.4e-10   37.9  12.5     0.088   12.0   0.3   7.2   8   0   0   8   8   4   2 | SP
VITVvi_vZin03_v1.1_P255.ver1.0.g345450.p01         -          LRR_6                PF13516.12   4.9e-10   37.8  23.0     0.052   12.7   0.7   8.0   7   0   0   7   7   3   2 | SP+TM
VITVvi_vZin03_v1.1_P104.ver1.0.g215590.p01         -          LRR_6                PF13516.12   4.9e-10   37.8  86.0      0.44    9.8   0.1  20.1  21   0   0  21  21   9   1 | TM
VITVvi_vZin03_v1.1_P312.ver1.0.g376060.p01         -          LRR_6                PF13516.12   6.2e-10   37.5  39.5     0.077   12.2   0.1  13.4  14   0   0  14  14   4   2 | SP+TM
VITVvi_vZin03_v1.1_H000153F_005.ver1.0.g152830.p01 -          LRR_6                PF13516.12   7.3e-10   37.2  49.7     0.054   12.6   0.3  10.6  11   0   0  11  11   5   5 | SP+TM
VITVvi_vZin03_v1.1_P22.ver1.0.g327730.p01          -          LRR_6                PF13516.12   1.2e-09   36.6  81.4      0.04   13.1   0.0  18.0  20   0   0  20  20   7   3 | SP
VITVvi_vZin03_v1.1_H000020F_010.ver1.0.g054480.p01 -          LRR_6                PF13516.12   1.3e-09   36.4  58.6       0.3   10.3   0.0  14.6  15   0   0  15  15   7   2 | SP
VITVvi_vZin03_v1.1_H000152F_005.ver1.0.g151200.p01 -          LRR_6                PF13516.12   1.7e-09   36.1  15.3     0.014   14.5   0.4   7.6   8   0   0   8   8   3   2 | SP
VITVvi_vZin03_v1.1_P696.ver1.0.g487530.p01         -          LRR_6                PF13516.12   2.4e-09   35.6   8.0     0.062   12.4   0.1   8.0   9   0   0   9   9   3   1 | SP
VITVvi_vZin03_v1.1_P494.ver1.0.g441440.p01         -          LRR_6                PF13516.12   2.9e-09   35.3  19.8       1.2    8.4   0.8   7.6   8   0   0   8   8   5   0 | TM
VITVvi_vZin03_v1.1_P677.ver1.0.g484580.p01         -          LRR_6                PF13516.12   3.3e-09   35.2  33.3     0.047   12.8   0.1  12.9  15   0   0  15  15   4   2 | TM
VITVvi_vZin03_v1.1_H000084F_004.ver1.0.g118310.p01 -          LRR_6                PF13516.12   3.3e-09   35.2  81.2      0.24   10.6   0.2  21.2  23   1   1  24  24   8   1 | SP
VITVvi_vZin03_v1.1_P74.ver1.0.g495760.p01          -          LRR_6                PF13516.12   3.4e-09   35.1  83.4       4.1    6.8   0.0  24.9  27   0   0  27  27   4   0 | TM
VITVvi_vZin03_v1.1_P298.ver1.0.g364100.p01         -          LRR_6                PF13516.12   3.4e-09   35.1  31.7       1.3    8.3   0.1  12.4  14   0   0  14  14   4   0 | SP+TM
VITVvi_vZin03_v1.1_P2.ver1.0.g309610.p01           -          LRR_6                PF13516.12   3.4e-09   35.1  19.1      0.39   10.0   0.5   8.4   9   0   0   9   9   5   1 | SP
VITVvi_vZin03_v1.1_P128.ver1.0.g242040.p01         -          LRR_6                PF13516.12   4.5e-09   34.7  17.6     0.014   14.5   0.4   7.7   8   0   0   8   8   3   2 | SP
VITVvi_vZin03_v1.1_P240.ver1.0.g338640.p01         -          LRR_6                PF13516.12   4.7e-09   34.7  70.2         1    8.7   0.3  18.5  19   0   0  19  19   7   0 | SP
VITVvi_vZin03_v1.1_P104.ver1.0.g215620.p01         -          LRR_6                PF13516.12   4.7e-09   34.7  96.2      0.38   10.0   0.0  22.3  24   0   0  24  24   8   1 | SP+TM
VITVvi_vZin03_v1.1_P272.ver1.0.g353580.p01         -          LRR_6                PF13516.12   5.6e-09   34.5 106.0      0.42    9.9   0.2  24.1  27   0   0  27  27   8   1 | TM
VITVvi_vZin03_v1.1_P87.ver1.0.g515420.p01          -          LRR_6                PF13516.12   5.8e-09   34.4  60.7       1.3    8.3   0.4  18.3  20   0   0  20  20   5   0 | TM
VITVvi_vZin03_v1.1_H000182F_002.ver1.0.g162360.p01 -          LRR_6                PF13516.12   6.3e-09   34.3  52.6         2    7.7   0.0  17.7  20   0   0  20  20   4   0 | SP+TM
VITVvi_vZin03_v1.1_P53.ver1.0.g456580.p01          -          LRR_6                PF13516.12     7e-09   34.2  81.3     0.059   12.5   0.0  19.4  21   0   0  21  21   7   2 | SP+TM
VITVvi_vZin03_v1.1_P160.ver1.0.g280300.p01         -          LRR_6                PF13516.12   7.5e-09   34.1  13.4      0.39   10.0   0.1   7.8   7   0   0   7   7   3   1 | SP
VITVvi_vZin03_v1.1_P119.ver1.0.g232300.p01         -          LRR_6                PF13516.12   7.6e-09   34.0  19.3      0.23   10.7   0.1   8.3   8   0   0   8   8   4   1 | SP
VITVvi_vZin03_v1.1_P240.ver1.0.g338670.p01         -          LRR_6                PF13516.12     8e-09   34.0  24.3       2.1    7.7   0.1  10.3  10   0   0  10  10   3   0 | SP
VITVvi_vZin03_v1.1_P171.ver1.0.g289370.p01         -          LRR_6                PF13516.12   8.6e-09   33.9  11.7      0.02   14.0   0.1   5.4   5   0   0   5   5   3   1 | SP
VITVvi_vZin03_v1.1_H001003F_001.ver1.0.g199210.p01 -          LRR_6                PF13516.12   8.7e-09   33.9  76.3       6.9    6.1   0.1  23.5  26   0   0  26  26   6   0 | TM
VITVvi_vZin03_v1.1_P366.ver1.0.g392730.p01         -          LRR_6                PF13516.12   8.9e-09   33.8  40.1     0.026   13.6   0.1  10.3  10   0   0  10  10   3   2 | SP
