#                                                                                                        --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                                 accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                                         ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
VITVvi_vCabSauv08_v1.1_Haplotig000206F_002.ver1.0.g241850.t01 -          LRR_4                PF12799.13  9.7e-123  397.1 211.8   2.6e-05   24.0   1.0  35.2  29   4   8  38  38  36  31 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000027F_031.ver1.0.g122650.t01 -          LRR_4                PF12799.13  4.3e-101  328.3 270.2   1.7e-06   27.7   4.9  37.6  25   5  13  42  42  32  25 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000049F_003.ver1.0.g158130.t01 -          LRR_4                PF12799.13  1.9e-100  326.2 307.8   3.1e-06   26.9   0.8  43.0  32   8  15  49  49  41  27 | TM
VITVvi_vCabSauv08_v1.1_Primary000107F.ver1.0.g497950.t01      -          LRR_4                PF12799.13   1.7e-98  320.0 295.0   5.1e-06   26.2   1.5  41.9  26   8  12  45  45  38  29 | TM
VITVvi_vCabSauv08_v1.1_Primary000027F.ver1.0.g382690.t01      -          LRR_4                PF12799.13   1.9e-93  304.1 207.0   1.3e-06   28.1   4.9  30.7  23   5  10  34  34  28  22 | SP
VITVvi_vCabSauv08_v1.1_Haplotig000107F_010.ver1.0.g208900.t01 -          LRR_4                PF12799.13   9.2e-90  292.3 351.8   5.9e-05   22.9   3.1  47.8  31   9  22  58  58  45  31 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000051F_010.ver1.0.g160080.t01 -          LRR_4                PF12799.13   3.6e-86  280.9 216.1   1.5e-05   24.8   1.0  33.7  22   8  10  35  35  32  28 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000031F_001.ver1.0.g131370.t01 -          LRR_4                PF12799.13   2.2e-85  278.4 230.8   6.6e-06   25.9   5.3  24.4  14   5  12  28  28  25  22 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000107F.ver1.0.g497940.t01      -          LRR_4                PF12799.13   3.5e-85  277.8 223.2   4.3e-05   23.3   0.2  33.8  17   6  20  41  41  38  30 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000107F_010.ver1.0.g208750.t01 -          LRR_4                PF12799.13     2e-83  272.2 246.0     3e-05   23.8   1.0  36.3  19   6  22  42  42  38  29 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000027F.ver1.0.g382630.t01      -          LRR_4                PF12799.13   7.9e-81  263.9 212.7   5.1e-08   32.6   1.5  30.1  23   4   4  30  30  23  19 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000027F_031.ver1.0.g122610.t01 -          LRR_4                PF12799.13     1e-79  260.4 204.3     5e-08   32.6   1.5  29.5  21   6   9  32  32  24  20 | TM
VITVvi_vCabSauv08_v1.1_Primary000026F.ver1.0.g379290.t01      -          LRR_4                PF12799.13   5.4e-79  258.1 273.3   1.8e-05   24.5   2.1  46.7  24  13  25  55  55  36  24 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000105F.ver1.0.g496060.t01      -          LRR_4                PF12799.13   3.4e-77  252.4 210.4   5.2e-07   29.4   0.3  33.1  25   5   9  36  36  27  22 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000107F.ver1.0.g497870.t01      -          LRR_4                PF12799.13   1.7e-75  247.0 154.1   3.8e-06   26.6   1.6  23.4  12   5   6  25  25  22  20 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000105F.ver1.0.g495970.t01      -          LRR_4                PF12799.13   4.2e-72  236.2 230.5   1.4e-06   28.0   5.8  35.0  24   7  19  43  43  34  19 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000120F.ver1.0.g510440.t01      -          LRR_4                PF12799.13   1.4e-71  234.6 201.1   6.7e-06   25.9   3.3  30.0  18   7  14  36  36  28  19 | TM
VITVvi_vCabSauv08_v1.1_Primary000105F.ver1.0.g496070.t01      -          LRR_4                PF12799.13   1.6e-71  234.4 229.2   1.5e-06   27.9   5.8  34.9  25   6  15  41  41  31  19 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000218F.ver1.0.g570450.t01      -          LRR_4                PF12799.13   1.2e-70  231.6 184.0   5.7e-06   26.1   3.2  26.6  16   6  10  30  30  26  18 | TM
VITVvi_vCabSauv08_v1.1_Primary000051F.ver1.0.g426180.t01      -          LRR_4                PF12799.13     1e-69  228.6 149.3   5.9e-05   22.9   0.1  26.3  17   6   9  28  28  24  18 | TM
VITVvi_vCabSauv08_v1.1_Primary000105F.ver1.0.g495960.t01      -          LRR_4                PF12799.13   2.9e-69  227.2 224.6   6.4e-06   25.9   2.2  34.4  28   5   7  37  37  30  19 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000048F.ver1.0.g422490.t01      -          LRR_4                PF12799.13   7.3e-69  225.9 192.8   1.2e-05   25.1   3.6  31.0  13   8  23  39  39  31  24 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000085F_005.ver1.0.g189150.t01 -          LRR_4                PF12799.13   9.4e-69  225.6 131.4   5.4e-05   23.0   0.5  23.1  16   4   8  26  26  23  19 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000085F.ver1.0.g471490.t01      -          LRR_4                PF12799.13   1.5e-65  215.4 149.7   6.9e-05   22.7   0.5  24.3  21   3   5  26  26  21  18 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000169F.ver1.0.g547420.t01      -          LRR_4                PF12799.13     4e-64  210.8 283.3   4.3e-05   23.3   1.5  43.2  27   8  23  53  53  33  21 | TM
VITVvi_vCabSauv08_v1.1_Primary000027F.ver1.0.g382670.t01      -          LRR_4                PF12799.13   1.9e-63  208.7 111.9   4.1e-06   26.6   2.5  16.7  13   1   5  18  18  17  15 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000096F.ver1.0.g485610.t01      -          LRR_4                PF12799.13   1.4e-62  205.9 259.7   1.7e-06   27.8   1.1  27.7  11   5  20  34  34  31  23 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000014F_032.ver1.0.g088150.t01 -          LRR_4                PF12799.13     3e-62  204.9 193.9     7e-05   22.6   0.9  33.0  19   8  19  41  41  37  16 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000051F.ver1.0.g425940.t01      -          LRR_4                PF12799.13   3.6e-62  204.6 120.7   4.5e-05   23.2   2.2  20.5  11   6  12  24  24  22  19 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000098F_001.ver1.0.g200830.t01 -          LRR_4                PF12799.13   6.2e-62  203.9 111.9   1.8e-05   24.5   0.0  18.9   9   4   5  19  19  17  13 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000052F.ver1.0.g428390.t01      -          LRR_4                PF12799.13   6.8e-62  203.8 156.1   8.3e-05   22.4   1.9  28.2  13   6  13  32  32  27  17 | TM
VITVvi_vCabSauv08_v1.1_Primary000052F.ver1.0.g427680.t01      -          LRR_4                PF12799.13   1.6e-61  202.6 178.5   1.2e-05   25.0   0.3  28.5  19   5  13  33  33  21  16 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000037F.ver1.0.g403320.t01      -          LRR_4                PF12799.13   2.3e-60  198.9 101.5   1.4e-05   24.9   1.2  18.1  15   3   2  18  18  17  13 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000010F_029.ver1.0.g080360.t01 -          LRR_4                PF12799.13   2.4e-60  198.8 108.0   1.2e-05   25.0   0.5  18.1  10   6  10  21  21  20  17 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000052F.ver1.0.g427710.t01      -          LRR_4                PF12799.13   4.8e-60  197.9 107.2   1.5e-05   24.8   0.1  17.7  15   3   2  18  18  15  12 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000096F.ver1.0.g485570.t01      -          LRR_4                PF12799.13   6.2e-60  197.6 188.4   3.9e-05   23.4   2.5  22.0  14   3   8  24  24  24  21 | TM
VITVvi_vCabSauv08_v1.1_Primary000206F.ver1.0.g566400.t01      -          LRR_4                PF12799.13   1.3e-59  196.5 134.8   4.7e-05   23.2   0.6  22.0  14   5   6  22  22  18  16 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000264F.ver1.0.g583050.t01      -          LRR_4                PF12799.13   9.6e-59  193.8 118.6   3.4e-05   23.6   4.0  19.8  12   3   5  20  20  17  15 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000018F_013.ver1.0.g096500.t01 -          LRR_4                PF12799.13   1.5e-58  193.2 174.3   0.00028   20.7   2.8  27.7  11   4  12  29  29  19  18 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000125F_007.ver1.0.g219860.t01 -          LRR_4                PF12799.13   1.6e-58  193.1 197.9   1.8e-05   24.5   0.8  30.5  20   5  15  36  36  27  18 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000098F_001.ver1.0.g200960.t01 -          LRR_4                PF12799.13   3.3e-58  192.0 125.3   2.3e-05   24.2   0.0  20.6   7   3  11  23  23  21  18 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000051F.ver1.0.g426040.t01      -          LRR_4                PF12799.13   3.1e-57  189.0 104.5   3.4e-05   23.6   0.6  17.7  12   5   7  20  20  18  15 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000025F_005.ver1.0.g118030.t01 -          LRR_4                PF12799.13   5.1e-57  188.3 253.7    0.0003   20.6   1.5  27.1  15   7   2  26  26  23  19 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000218F.ver1.0.g570280.t01      -          LRR_4                PF12799.13   2.5e-56  186.1 105.0   5.7e-05   22.9   1.8  18.5  12   3   9  21  21  19  16 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000038F.ver1.0.g405820.t01      -          LRR_4                PF12799.13   2.9e-56  185.9 228.2   0.00061   19.6   1.9  31.0  14   8  23  39  39  31  21 | TM
VITVvi_vCabSauv08_v1.1_Primary000475F.ver1.0.g612460.t01      -          LRR_4                PF12799.13   6.2e-56  184.8  76.8   1.5e-06   27.9   0.1  16.4  10   3   5  17  17  16  14 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000152F.ver1.0.g535600.t01      -          LRR_4                PF12799.13   9.1e-56  184.3 113.3   1.1e-05   25.2   0.7  17.0  10   1   4  18  18  17  16 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000152F_009.ver1.0.g231910.t01 -          LRR_4                PF12799.13   2.5e-55  182.9 113.8   1.1e-05   25.1   0.7  16.9  10   1   2  17  17  16  15 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000095F.ver1.0.g483730.t01      -          LRR_4                PF12799.13   4.6e-55  182.1 241.5   0.00023   21.0   6.0  38.0  28   9   8  38  38  27  15 | TM
VITVvi_vCabSauv08_v1.1_Primary000264F.ver1.0.g582980.t01      -          LRR_4                PF12799.13   6.7e-55  181.6 118.5   3.1e-06   26.9   0.8  19.0  16   2   5  21  21  18  14 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000107F_010.ver1.0.g208880.t01 -          LRR_4                PF12799.13   1.2e-54  180.8 100.3   1.6e-05   24.6   1.5  16.6   9   3   4  17  17  16  15 | SP+TM
