#                                                                                             --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                      accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                              ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
VITVvi_vZin03_v1.1_P151.ver1.0.g270680.p01         -          LRRNT_2              PF08263.17   1.4e-17   62.7   9.4   3.1e-10   39.2   1.0   3.0   2   0   0   2   2   2   2 | SP+TM
VITVvi_vZin03_v1.1_P304.ver1.0.g372350.p01         -          LRRNT_2              PF08263.17     5e-15   54.5   0.2   1.3e-14   53.2   0.2   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P133.ver1.0.g248510.p01         -          LRRNT_2              PF08263.17     1e-14   53.5   1.2   2.2e-14   52.5   1.2   1.6   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000169F_007.ver1.0.g157590.p01 -          LRRNT_2              PF08263.17     1e-14   53.5   1.2   2.2e-14   52.5   1.2   1.6   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P40.ver1.0.g410000.p01          -          LRRNT_2              PF08263.17   1.1e-14   53.4   6.9     3e-14   52.0   6.9   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000043F_008.ver1.0.g080940.p01 -          LRRNT_2              PF08263.17   1.1e-14   53.4   6.9     3e-14   52.0   6.9   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000182F_002.ver1.0.g162250.p01 -          LRRNT_2              PF08263.17   1.1e-14   53.4   1.4   3.5e-14   51.8   1.4   1.9   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000182F_002.ver1.0.g162270.p01 -          LRRNT_2              PF08263.17   1.2e-14   53.3   1.1   3.8e-14   51.7   1.1   2.0   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P58.ver1.0.g464850.p01          -          LRRNT_2              PF08263.17   1.4e-14   53.1   0.4   4.3e-14   51.6   0.4   1.9   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P27.ver1.0.g352250.p01          -          LRRNT_2              PF08263.17   1.7e-14   52.8   0.7   1.7e-14   52.8   0.7   2.7   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P307.ver1.0.g372960.p01         -          LRRNT_2              PF08263.17   1.9e-14   52.7   7.8   3.5e-14   51.8   3.4   3.2   3   0   0   3   3   1   1 | SP+TM
VITVvi_vZin03_v1.1_P444.ver1.0.g426740.p01         -          LRRNT_2              PF08263.17   2.2e-14   52.5   0.4     7e-14   50.9   0.4   1.9   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P53.ver1.0.g456550.p01          -          LRRNT_2              PF08263.17   2.3e-14   52.4   0.6     8e-14   50.7   0.6   2.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P240.ver1.0.g338720.p01         -          LRRNT_2              PF08263.17   2.8e-14   52.1   1.7   5.6e-14   51.2   0.2   2.4   2   0   0   2   2   1   1 | SP
VITVvi_vZin03_v1.1_P572.ver1.0.g463470.p01         -          LRRNT_2              PF08263.17     3e-14   52.1   0.6   8.6e-14   50.6   0.6   1.9   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P129.ver1.0.g242950.p01         -          LRRNT_2              PF08263.17   3.9e-14   51.7   7.3     2e-06   27.0   1.7   3.0   2   0   0   2   2   2   2 | SP+TM
VITVvi_vZin03_v1.1_H000162F_003.ver1.0.g155310.p01 -          LRRNT_2              PF08263.17   3.9e-14   51.7   7.3     2e-06   27.0   1.7   3.0   2   0   0   2   2   2   2 | SP+TM
VITVvi_vZin03_v1.1_P107.ver1.0.g216980.p01         -          LRRNT_2              PF08263.17     4e-14   51.7   0.1   9.9e-14   50.4   0.1   1.7   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P108.ver1.0.g218440.p01         -          LRRNT_2              PF08263.17     4e-14   51.7   0.1   9.9e-14   50.4   0.1   1.7   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P175.ver1.0.g291210.p01         -          LRRNT_2              PF08263.17   4.1e-14   51.6   1.1   9.7e-14   50.4   1.1   1.7   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P22.ver1.0.g327620.p01          -          LRRNT_2              PF08263.17   4.8e-14   51.4   0.2   1.3e-13   50.0   0.2   1.8   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_H000075F_002.ver1.0.g111860.p01 -          LRRNT_2              PF08263.17   5.2e-14   51.3   0.6   5.2e-14   51.3   0.6   1.8   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P69.ver1.0.g486630.p01          -          LRRNT_2              PF08263.17   5.2e-14   51.3   0.6   5.2e-14   51.3   0.6   1.8   2   0   0   2   2   1   1 | SP+TM
VITVvi_vZin03_v1.1_P249.ver1.0.g341380.p01         -          LRRNT_2              PF08263.17   5.5e-14   51.2   0.4   2.5e-13   49.1   0.4   2.3   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P574.ver1.0.g463780.p01         -          LRRNT_2              PF08263.17   5.6e-14   51.2   6.9     9e-14   50.5   3.5   3.1   3   0   0   3   3   1   1 | SP+TM
VITVvi_vZin03_v1.1_P273.ver1.0.g354170.p01         -          LRRNT_2              PF08263.17   5.7e-14   51.1   0.3   2.5e-13   49.1   0.3   2.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P53.ver1.0.g456560.p01          -          LRRNT_2              PF08263.17   6.2e-14   51.0   0.1   1.7e-13   49.7   0.1   1.8   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000332F_002.ver1.0.g188040.p01 -          LRRNT_2              PF08263.17   6.9e-14   50.9   0.4   2.7e-13   49.0   0.4   2.2   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_H000001F_033.ver1.0.g006390.p01 -          LRRNT_2              PF08263.17   7.3e-14   50.8   0.3   1.8e-13   49.6   0.3   1.7   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_H000091F_004.ver1.0.g121840.p01 -          LRRNT_2              PF08263.17   7.6e-14   50.7   0.1   2.5e-13   49.1   0.1   2.0   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P80.ver1.0.g505240.p01          -          LRRNT_2              PF08263.17   7.6e-14   50.7   0.1   2.5e-13   49.1   0.1   2.0   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P12.ver1.0.g233890.p01          -          LRRNT_2              PF08263.17   7.7e-14   50.7   4.0   2.4e-13   49.2   4.0   1.9   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P71.ver1.0.g491630.p01          -          LRRNT_2              PF08263.17   7.7e-14   50.7   0.9   2.2e-13   49.3   0.9   1.9   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_H000005F_004.ver1.0.g020140.p01 -          LRRNT_2              PF08263.17   8.1e-14   50.7   2.5   1.8e-13   49.5   2.5   1.7   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P6.ver1.0.g471210.p01           -          LRRNT_2              PF08263.17   8.1e-14   50.7   2.5   1.8e-13   49.5   2.5   1.6   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P160.ver1.0.g280300.p01         -          LRRNT_2              PF08263.17     9e-14   50.5   0.4   2.3e-13   49.2   0.4   1.8   1   0   0   1   1   1   1 | SP
VITVvi_vZin03_v1.1_P2.ver1.0.g312350.p01           -          LRRNT_2              PF08263.17     1e-13   50.3   0.3   3.1e-13   48.8   0.3   1.9   1   0   0   1   1   1   1 | SP+TM
