#                                                                                                        --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                                 accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                                         ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
VITVvi_vCabSauv08_v1.1_Primary000026F.ver1.0.g379290.t01      -          LRRNT_2              PF08263.17   3.6e-49  164.4  18.5   4.9e-13   48.8   0.6   5.2   5   0   0   5   5   4   4 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000052F.ver1.0.g427680.t01      -          LRRNT_2              PF08263.17   1.5e-27   95.3  17.3   2.1e-10   40.4   1.1   4.2   3   0   0   3   3   3   3 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000044F_005.ver1.0.g151570.t01 -          LRRNT_2              PF08263.17   3.4e-27   94.1  11.3   8.2e-10   38.5   0.5   4.5   4   0   0   4   4   3   3 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000136F_009.ver1.0.g225650.t01 -          LRRNT_2              PF08263.17   1.3e-25   89.0   1.8     1e-12   47.8   0.1   3.0   2   0   0   2   2   2   2 | SP
VITVvi_vCabSauv08_v1.1_Haplotig000125F_007.ver1.0.g219860.t01 -          LRRNT_2              PF08263.17   4.4e-25   87.3   2.4     1e-11   44.6   0.2   2.9   2   0   0   2   2   2   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000080F.ver1.0.g462260.t01      -          LRRNT_2              PF08263.17   4.3e-24   84.2  16.4   2.2e-13   49.9   4.3   3.2   3   0   0   3   3   2   2 | SP
VITVvi_vCabSauv08_v1.1_Haplotig000020F_003.ver1.0.g101900.t01 -          LRRNT_2              PF08263.17     6e-24   83.7   5.2   8.1e-12   44.9   0.3   3.1   2   0   0   2   2   2   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000169F.ver1.0.g547420.t01      -          LRRNT_2              PF08263.17   8.7e-24   83.2   7.3     3e-11   43.1   1.3   3.2   2   0   0   2   2   2   2 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000018F_013.ver1.0.g096500.t01 -          LRRNT_2              PF08263.17   8.1e-22   76.9   7.1   2.9e-10   39.9   0.8   2.6   2   0   0   2   2   2   2 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000009F_007.ver1.0.g073380.t01 -          LRRNT_2              PF08263.17   9.6e-22   76.7  16.5   1.2e-12   47.6   4.1   3.2   3   0   0   3   3   2   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000009F.ver1.0.g319920.t01      -          LRRNT_2              PF08263.17   5.4e-21   74.3  18.2   1.4e-12   47.3   4.1   3.1   3   0   0   3   3   2   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000197F.ver1.0.g561060.t01      -          LRRNT_2              PF08263.17   2.3e-19   69.1   6.9   3.5e-09   36.5   0.8   2.7   2   0   0   2   2   2   2 | TM
