Receptor                                                                                            Best Model     pLDDT     pTM
-----------------------------------------------------------------------------------------------------------------------------
VITVvi_vZin03_v1.1_H000019F_008.ver1.0.g052710.p01___SP_TM                                          model_1        86.8      0.612
VITVvi_vZin03_v1.1_H000029F_002.ver1.0.g066660.p01___TM                                             model_1        71.4      0.614
VITVvi_vZin03_v1.1_H000029F_002.ver1.0.g066670.p01___SP_TM                                          model_1        86.1      0.635
VITVvi_vZin03_v1.1_H000029F_002.ver1.0.g066700.p01___TM                                             model_1        87.2      0.554
VITVvi_vZin03_v1.1_H000029F_011.ver1.0.g067750.p01___SP_TM                                          model_1        87.6      0.609
VITVvi_vZin03_v1.1_H000040F_001.ver1.0.g075530.p01___SP_TM                                          model_1        78.8      0.513
VITVvi_vZin03_v1.1_H000062F_009.ver1.0.g103540.p01___SP_TM                                          model_1        80.6      0.526
VITVvi_vZin03_v1.1_H000087F_005.ver1.0.g120530.p01___SP_TM                                          model_1        86.1      0.624
VITVvi_vZin03_v1.1_H000092F_008.ver1.0.g123550.p01___SP_TM                                          model_1        79.6      0.487
VITVvi_vZin03_v1.1_H000158F_001.ver1.0.g154420.p01___SP_TM                                          model_1        82.8      0.595
VITVvi_vZin03_v1.1_H000165F_007.ver1.0.g156210.p01___SP_TM                                          model_1        77.0      0.516
VITVvi_vZin03_v1.1_H000197F_003.ver1.0.g166280.p01___TM                                             model_1        66.0      0.489
VITVvi_vZin03_v1.1_H000208F_004.ver1.0.g170000.p01___TM                                             model_1        85.7      0.638
VITVvi_vZin03_v1.1_H000286F_002.ver1.0.g184270.p01___SP_TM                                          model_1        84.0      0.621
VITVvi_vZin03_v1.1_H000464F_001.ver1.0.g194280.p01___TM                                             model_1        87.4      0.635
VITVvi_vZin03_v1.1_H000464F_001.ver1.0.g194300.p01___TM                                             model_1        86.6      0.674
VITVvi_vZin03_v1.1_H000464F_001.ver1.0.g194340.p01___TM                                             model_1        83.6      0.459
VITVvi_vZin03_v1.1_H000464F_001.ver1.0.g194380.p01___TM                                             model_1        87.2      0.586
VITVvi_vZin03_v1.1_H000568F_002.ver1.0.g196580.p01___SP_TM                                          model_1        81.8      0.647
