#                                                                                                        --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                                 accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                                         ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
VITVvi_vCabSauv08_v1.1_Primary000009F.ver1.0.g321910.t01      -          LRR_6                PF13516.12   2.1e-17   61.4  43.4      0.35   10.7   0.1  17.9  18   0   0  18  18   5   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000151F_004.ver1.0.g231600.t01 -          LRR_6                PF13516.12   2.3e-17   61.3 106.6      0.33   10.8   0.3  29.6  33   0   0  33  33   7   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000009F_017.ver1.0.g075870.t01 -          LRR_6                PF13516.12   4.7e-17   60.3  44.1      0.35   10.7   0.1  17.8  18   0   0  18  18   5   1 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000151F.ver1.0.g534820.t01      -          LRR_6                PF13516.12   3.4e-16   57.6 108.6      0.33   10.8   0.3  29.5  32   0   0  32  32   6   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000020F_003.ver1.0.g102040.t01 -          LRR_6                PF13516.12   2.4e-15   55.0  41.2    0.0053   16.4   0.1  11.7  12   0   0  12  12   6   4 | SP
VITVvi_vCabSauv08_v1.1_Haplotig000095F_006.ver1.0.g198680.t01 -          LRR_6                PF13516.12   3.1e-15   54.6  71.2       0.7    9.8   0.0  26.0  30   0   0  30  30   4   1 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000098F_001.ver1.0.g200830.t01 -          LRR_6                PF13516.12     8e-15   53.3 113.1      0.27   11.1   0.0  28.1  31   1   1  32  32   9   4 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000095F.ver1.0.g483710.t01      -          LRR_6                PF13516.12   1.3e-14   52.6  73.8       1.4    8.9   0.0  22.1  23   0   0  23  23   7   0 | TM
VITVvi_vCabSauv08_v1.1_Primary000026F.ver1.0.g376070.t01      -          LRR_6                PF13516.12   2.8e-14   51.6 110.6     0.032   14.0   0.3  24.0  26   0   0  26  26  10   5 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000010F_029.ver1.0.g080360.t01 -          LRR_6                PF13516.12   5.3e-14   50.8 103.7      0.44   10.4   0.1  26.7  29   1   1  30  30   9   2 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000316F_003.ver1.0.g247450.t01 -          LRR_6                PF13516.12   8.3e-14   50.2  46.2     0.027   14.2   0.1  11.2  12   0   0  12  12   6   3 | SP
