#                                                                                             --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                      accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                              ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
VITVvi_vZin03_v1.1_P127.ver1.0.g241740.p01         -          LRR_4                PF12799.13   8.6e-78  253.7 194.6     4e-06   25.9   3.2  28.5  15   7  13  32  32  29  21 | TM
VITVvi_vZin03_v1.1_P76.ver1.0.g497560.p01          -          LRR_4                PF12799.13   4.6e-67  219.6 207.2   3.6e-06   26.1   5.4  20.7   6   3  19  27  27  25  22 | SP+TM
VITVvi_vZin03_v1.1_P240.ver1.0.g338700.p01         -          LRR_4                PF12799.13   1.3e-61  202.2 118.0     2e-07   30.1   1.2  18.2  14   2   3  19  19  17  15 | TM
VITVvi_vZin03_v1.1_P171.ver1.0.g289350.p01         -          LRR_4                PF12799.13   1.3e-59  195.9 101.6   4.9e-06   25.7   0.1  17.5  11   3   6  19  19  19  14 | SP
VITVvi_vZin03_v1.1_P407.ver1.0.g413230.p01         -          LRR_4                PF12799.13   3.4e-59  194.6 131.0   2.9e-07   29.6   1.7  18.6   7   4  14  24  24  23  18 | TM
VITVvi_vZin03_v1.1_P240.ver1.0.g338600.p01         -          LRR_4                PF12799.13   1.1e-57  189.8 118.4   1.4e-06   27.4   0.6  18.5  14   4   4  19  19  16  14 | SP+TM
VITVvi_vZin03_v1.1_P114.ver1.0.g228830.p01         -          LRR_4                PF12799.13   1.2e-57  189.6  91.5   1.2e-06   27.6   0.2  16.3  10   5   3  16  16  14  13 | SP+TM
VITVvi_vZin03_v1.1_P104.ver1.0.g215620.p01         -          LRR_4                PF12799.13   8.4e-56  183.8  99.6   6.7e-06   25.2   3.5  16.3  11   5   4  16  16  14  13 | SP+TM
VITVvi_vZin03_v1.1_P28.ver1.0.g356210.p01          -          LRR_4                PF12799.13   2.8e-55  182.1  79.9   9.4e-07   28.0   0.1  16.4   9   3   5  17  17  16  14 | SP+TM
VITVvi_vZin03_v1.1_P407.ver1.0.g413240.p01         -          LRR_4                PF12799.13   3.8e-55  181.7 128.1   1.3e-06   27.5   2.6  17.8   7   3  14  23  23  23  20 | TM
VITVvi_vZin03_v1.1_P152.ver1.0.g270960.p01         -          LRR_4                PF12799.13   1.9e-54  179.5  95.4   2.8e-06   26.5   1.1  18.1  13   4   4  18  18  17  15 | TM
VITVvi_vZin03_v1.1_H001003F_001.ver1.0.g199210.p01 -          LRR_4                PF12799.13     1e-53  177.2  85.0   3.1e-05   23.1   0.8  15.2   9   2   6  17  17  16  13 | TM
VITVvi_vZin03_v1.1_P73.ver1.0.g495420.p01          -          LRR_4                PF12799.13   1.9e-53  176.3 198.0     8e-06   25.0   4.8  20.7  10   4   8  23  23  22  20 | SP+TM
VITVvi_vZin03_v1.1_P74.ver1.0.g495780.p01          -          LRR_4                PF12799.13   3.9e-53  175.3 102.5   3.9e-05   22.8   0.3  18.0  11   3  10  21  21  19  16 | SP+TM
VITVvi_vZin03_v1.1_P398.ver1.0.g403160.p01         -          LRR_4                PF12799.13   4.6e-53  175.1 112.7   3.3e-06   26.2   2.3  17.7   9   2   8  20  20  19  16 | TM
VITVvi_vZin03_v1.1_P87.ver1.0.g515400.p01          -          LRR_4                PF12799.13   1.9e-52  173.1 129.7   3.8e-06   26.0   1.0  18.6  13   4   3  18  18  17  15 | TM
VITVvi_vZin03_v1.1_P28.ver1.0.g357670.p01          -          LRR_4                PF12799.13   3.3e-52  172.4 137.0   6.9e-06   25.2   2.7  18.8   8   3  16  26  26  24  19 | TM
VITVvi_vZin03_v1.1_P456.ver1.0.g429780.p01         -          LRR_4                PF12799.13   2.6e-51  169.5 100.1   4.9e-07   28.8   2.7  16.4   9   5   7  18  18  16  14 | SP+TM
VITVvi_vZin03_v1.1_P240.ver1.0.g338620.p01         -          LRR_4                PF12799.13   7.5e-51  168.1 134.7     7e-06   25.2   2.7  19.9  11   4  10  23  23  20  17 | SP+TM
VITVvi_vZin03_v1.1_P127.ver1.0.g241810.p01         -          LRR_4                PF12799.13   1.1e-50  167.6  97.6   2.1e-05   23.7   3.6  16.5  10   3   7  19  19  18  17 | SP+TM
VITVvi_vZin03_v1.1_P3.ver1.0.g364460.p01           -          LRR_4                PF12799.13   6.4e-50  165.1  61.0   4.1e-06   25.9   1.0  12.8   8   3   5  14  14  13  12 | SP+TM
VITVvi_vZin03_v1.1_P254.ver1.0.g345140.p01         -          LRR_4                PF12799.13   6.8e-50  165.0  61.0   5.5e-06   25.5   1.3  12.6   9   3   3  13  13  12  10 | SP+TM
VITVvi_vZin03_v1.1_P74.ver1.0.g495760.p01          -          LRR_4                PF12799.13   1.2e-49  164.2 101.0   5.4e-06   25.5   2.0  16.3  13   1   3  18  18  16  12 | TM
VITVvi_vZin03_v1.1_H000019F_012.ver1.0.g053970.p01 -          LRR_4                PF12799.13     2e-49  163.5 107.2   5.2e-06   25.6   0.1  17.6  15   4   3  19  19  17  14 | SP+TM
VITVvi_vZin03_v1.1_P254.ver1.0.g345150.p01         -          LRR_4                PF12799.13   2.7e-49  163.1  61.2   4.7e-06   25.7   1.0  12.6   9   2   3  13  13  13  11 | SP+TM
VITVvi_vZin03_v1.1_P240.ver1.0.g338580.p01         -          LRR_4                PF12799.13     7e-49  161.8 108.1   1.5e-06   27.3   0.6  17.5  11   4   9  21  21  18  12 | TM
VITVvi_vZin03_v1.1_H000448F_001.ver1.0.g193600.p01 -          LRR_4                PF12799.13   2.7e-48  159.9 126.3   9.7e-06   24.7   1.9  18.5  13   3   7  21  21  16  15 | TM
VITVvi_vZin03_v1.1_P398.ver1.0.g403150.p01         -          LRR_4                PF12799.13   3.9e-48  159.4 133.3   6.8e-06   25.2   1.2  21.4   6   2  18  27  27  23  17 | SP+TM
VITVvi_vZin03_v1.1_P138.ver1.0.g251740.p01         -          LRR_4                PF12799.13   5.3e-48  159.0 133.0   5.7e-05   22.3   0.2  19.5  12   6   9  22  22  18  13 | SP+TM
VITVvi_vZin03_v1.1_P119.ver1.0.g232200.p01         -          LRR_4                PF12799.13   5.7e-48  158.9 136.0   2.4e-06   26.6   0.6  18.4  10   2   9  21  21  19  15 | SP+TM
VITVvi_vZin03_v1.1_P128.ver1.0.g241860.p01         -          LRR_4                PF12799.13     1e-47  158.1 224.1   3.7e-05   22.9   3.6  23.3  14   3   9  26  26  25  20 | SP+TM
VITVvi_vZin03_v1.1_P104.ver1.0.g215550.p01         -          LRR_4                PF12799.13   1.3e-47  157.7 104.7   7.5e-07   28.3   2.9  16.5   6   5  12  20  20  19  15 | SP+TM
VITVvi_vZin03_v1.1_H000155F_004.ver1.0.g153220.p01 -          LRR_4                PF12799.13   2.1e-47  157.1 108.9   9.1e-06   24.8   1.1  17.7  15   3   1  18  18  13  11 | SP+TM
VITVvi_vZin03_v1.1_P27.ver1.0.g351500.p01          -          LRR_4                PF12799.13   2.1e-47  157.1 108.9   9.1e-06   24.8   1.1  17.7  15   3   1  18  18  13  11 | SP+TM
VITVvi_vZin03_v1.1_H000232F_006.ver1.0.g175810.p01 -          LRR_4                PF12799.13   6.3e-47  155.6  67.5     7e-08   31.5   4.5  12.8  11   1   0  12  12  10   8 | SP+TM
VITVvi_vZin03_v1.1_P188.ver1.0.g302390.p01         -          LRR_4                PF12799.13   6.3e-47  155.6  67.5     7e-08   31.5   4.5  12.8  11   1   0  12  12  10   8 | SP+TM
VITVvi_vZin03_v1.1_P114.ver1.0.g228770.p01         -          LRR_4                PF12799.13   7.2e-47  155.4  92.2   4.2e-07   29.0   1.5  14.1   9   3   6  15  15  13  11 | SP
VITVvi_vZin03_v1.1_P28.ver1.0.g357680.p01          -          LRR_4                PF12799.13     9e-47  155.1 139.1     1e-05   24.7   4.0  18.9   6   4  15  24  24  21  19 | TM
VITVvi_vZin03_v1.1_P279.ver1.0.g355820.p01         -          LRR_4                PF12799.13     1e-46  155.0 118.2     1e-05   24.7   7.4  14.5   9   2   2  14  14  13  11 | SP+TM
VITVvi_vZin03_v1.1_P240.ver1.0.g338640.p01         -          LRR_4                PF12799.13   1.6e-46  154.3  86.0   4.2e-06   25.9   2.4  13.6   7   3   7  16  16  15  15 | SP
VITVvi_vZin03_v1.1_H000464F_001.ver1.0.g194380.p01 -          LRR_4                PF12799.13   3.5e-46  153.2 105.9   8.4e-06   24.9   2.1  17.3  11   4   7  19  19  17  14 | TM
VITVvi_vZin03_v1.1_P272.ver1.0.g353580.p01         -          LRR_4                PF12799.13   4.2e-46  153.0 108.7   1.5e-07   30.4   0.4  17.0  11   4   5  17  17  14  13 | TM
VITVvi_vZin03_v1.1_H000084F_004.ver1.0.g118330.p01 -          LRR_4                PF12799.13   6.8e-46  152.3  70.1   3.4e-06   26.2   3.4  12.6  12   0   0  12  12  11   9 | SP
VITVvi_vZin03_v1.1_P66.ver1.0.g481640.p01          -          LRR_4                PF12799.13   1.1e-45  151.6 116.7   6.9e-06   25.2   0.9  17.8   9   4  14  23  23  21  15 | SP+TM
VITVvi_vZin03_v1.1_P272.ver1.0.g353680.p01         -          LRR_4                PF12799.13   1.4e-45  151.3 112.3   3.8e-07   29.2   5.8  18.1  14   3   6  20  20  17  12 | SP
VITVvi_vZin03_v1.1_P423.ver1.0.g421190.p01         -          LRR_4                PF12799.13   1.4e-45  151.3 114.9   7.5e-06   25.1   3.3  17.1   8   3  13  21  21  21  16 | SP+TM
VITVvi_vZin03_v1.1_P3.ver1.0.g364500.p01           -          LRR_4                PF12799.13   1.5e-45  151.2  66.0   2.2e-06   26.8   1.1  13.2   6   3   9  16  16  15  14 | SP+TM
VITVvi_vZin03_v1.1_P208.ver1.0.g319480.p01         -          LRR_4                PF12799.13   1.9e-45  150.9 117.7   1.2e-05   24.5   0.6  17.7  11   3   6  19  19  17  14 | SP+TM
VITVvi_vZin03_v1.1_P22.ver1.0.g327880.p01          -          LRR_4                PF12799.13   2.1e-45  150.8 115.0     1e-05   24.7   0.1  17.2   8   3  14  22  22  22  16 | SP
VITVvi_vZin03_v1.1_P117.ver1.0.g230880.p01         -          LRR_4                PF12799.13   3.3e-45  150.1 111.1   1.8e-05   23.8   3.6  17.5  11   4   5  19  19  15  12 | SP+TM
VITVvi_vZin03_v1.1_P225.ver1.0.g329790.p01         -          LRR_4                PF12799.13   6.4e-45  149.2 116.0   2.8e-05   23.3   0.1  18.1  14   5   6  20  20  17  15 | SP+TM
VITVvi_vZin03_v1.1_P272.ver1.0.g353560.p01         -          LRR_4                PF12799.13   2.7e-44  147.2  99.6   3.5e-07   29.3   5.8  16.4  14   1   2  17  17  13   8 | TM
VITVvi_vZin03_v1.1_H000084F_006.ver1.0.g118420.p01 -          LRR_4                PF12799.13   3.9e-44  146.7  77.0   7.8e-06   25.0   0.9  12.9  11   2   0  12  12  10   9 | SP+TM
VITVvi_vZin03_v1.1_H000079F_010.ver1.0.g113650.p01 -          LRR_4                PF12799.13   4.3e-44  146.6  87.3   1.6e-07   30.4   2.3  13.6  10   3   2  13  13  12   9 | SP+TM
VITVvi_vZin03_v1.1_H000079F_014.ver1.0.g114300.p01 -          LRR_4                PF12799.13   4.9e-44  146.4  88.3   1.6e-07   30.4   2.3  13.6  10   3   2  13  13  12   9 | SP+TM
VITVvi_vZin03_v1.1_H000028F_009.ver1.0.g066050.p01 -          LRR_4                PF12799.13   5.2e-44  146.3  44.9   3.7e-07   29.2   0.1  10.4   9   1   1  10  10  10  10 | SP
