Protein.Key	LRR.Repeat.Number
VITVvi_vCabSauv08_v1.1_Haplotig000051F_009.ver1.0.g160060.t02___SP_TM	4
VITVvi_vCabSauv08_v1.1_Primary000051F.ver1.0.g427230.t01___SP_TM	4
VITVvi_vCabSauv08_v1.1_Primary000051F.ver1.0.g427230.t02___SP_TM	4
VITVvi_vCabSauv08_v1.1_Haplotig000014F_023.ver1.0.g086680.t05___SP_TM	6
VITVvi_vCabSauv08_v1.1_Haplotig000051F_009.ver1.0.g160060.t01___SP_TM	6
VITVvi_vCabSauv08_v1.1_Haplotig000153F_001.ver1.0.g232640.t05___SP_TM	6
VITVvi_vCabSauv08_v1.1_Primary000014F.ver1.0.g339150.t02___SP_TM	6
VITVvi_vCabSauv08_v1.1_Primary000028F.ver1.0.g386150.t02___SP_TM	6
VITVvi_vCabSauv08_v1.1_Haplotig000002F_098.ver1.0.g030310.t03___SP_TM	7
VITVvi_vCabSauv08_v1.1_Haplotig000014F_023.ver1.0.g086680.t06___SP_TM	7
VITVvi_vCabSauv08_v1.1_Haplotig000014F_023.ver1.0.g086680.t09___SP_TM	7
VITVvi_vCabSauv08_v1.1_Haplotig000085F_008.ver1.0.g190190.t04___SP_TM	7
VITVvi_vCabSauv08_v1.1_Haplotig000153F_001.ver1.0.g232640.t04___TM	7
VITVvi_vCabSauv08_v1.1_Haplotig000153F_001.ver1.0.g232640.t06___SP_TM	7
VITVvi_vCabSauv08_v1.1_Primary000057F.ver1.0.g434250.t01___SP_TM	7
VITVvi_vCabSauv08_v1.1_Primary000083F.ver1.0.g466110.t01___TM	7
VITVvi_vCabSauv08_v1.1_Primary000085F.ver1.0.g470860.t06___SP_TM	7
VITVvi_vCabSauv08_v1.1_Primary000085F.ver1.0.g470860.t07___SP_TM	7
VITVvi_vCabSauv08_v1.1_Primary000153F.ver1.0.g537100.t06___SP_TM	7
VITVvi_vCabSauv08_v1.1_Haplotig000002F_049.ver1.0.g027160.t01___SP_TM	8
VITVvi_vCabSauv08_v1.1_Haplotig000044F_005.ver1.0.g151710.t01___SP_TM	8
VITVvi_vCabSauv08_v1.1_Haplotig000085F_008.ver1.0.g190190.t01___SP_TM	8
VITVvi_vCabSauv08_v1.1_Primary000000F.ver1.0.g256070.t02___SP_TM	8
VITVvi_vCabSauv08_v1.1_Primary000002F.ver1.0.g279760.t01___SP_TM	8
VITVvi_vCabSauv08_v1.1_Primary000014F.ver1.0.g339150.t01___TM	8
VITVvi_vCabSauv08_v1.1_Primary000044F.ver1.0.g416580.t01___TM	8
VITVvi_vCabSauv08_v1.1_Primary000075F.ver1.0.g457140.t01___SP_TM	8
VITVvi_vCabSauv08_v1.1_Primary000083F.ver1.0.g466110.t02___TM	8
VITVvi_vCabSauv08_v1.1_Primary000085F.ver1.0.g470860.t04___SP_TM	8
VITVvi_vCabSauv08_v1.1_Primary000153F.ver1.0.g537100.t04___SP_TM	8
VITVvi_vCabSauv08_v1.1_Primary000153F.ver1.0.g537100.t05___SP_TM	8
VITVvi_vCabSauv08_v1.1_Primary000578F.ver1.0.g617750.t02___TM	8
VITVvi_vCabSauv08_v1.1_Haplotig000028F_013.ver1.0.g124480.t02___SP_TM	9
VITVvi_vCabSauv08_v1.1_Haplotig000052F_016.ver1.0.g161440.t01___TM	9
VITVvi_vCabSauv08_v1.1_Haplotig000085F_008.ver1.0.g190190.t06___SP_TM	9
VITVvi_vCabSauv08_v1.1_Haplotig000153F_001.ver1.0.g232640.t03___SP_TM	9
VITVvi_vCabSauv08_v1.1_Haplotig000242F_002.ver1.0.g244220.t03___SP_TM	9
VITVvi_vCabSauv08_v1.1_Primary000001F.ver1.0.g268690.t01___SP_TM	9
VITVvi_vCabSauv08_v1.1_Primary000014F.ver1.0.g339150.t04___SP_TM	9
VITVvi_vCabSauv08_v1.1_Primary000085F.ver1.0.g470860.t01___SP_TM	9
VITVvi_vCabSauv08_v1.1_Primary000115F.ver1.0.g504970.t01___SP_TM	9
VITVvi_vCabSauv08_v1.1_Primary000115F.ver1.0.g505260.t01___SP_TM	9
VITVvi_vCabSauv08_v1.1_Primary000242F.ver1.0.g577020.t03___SP_TM	9
VITVvi_vCabSauv08_v1.1_Haplotig000002F_098.ver1.0.g030310.t01___SP_TM	10
VITVvi_vCabSauv08_v1.1_Haplotig000005F_054.ver1.0.g059220.t01___SP_TM	10
VITVvi_vCabSauv08_v1.1_Haplotig000005F_054.ver1.0.g059880.t02___TM	10
VITVvi_vCabSauv08_v1.1_Haplotig000054F_003.ver1.0.g163900.t01___SP_TM	10
VITVvi_vCabSauv08_v1.1_Primary000014F.ver1.0.g339150.t03___SP_TM	10
VITVvi_vCabSauv08_v1.1_Primary000026F.ver1.0.g379190.t02___SP_TM	10
VITVvi_vCabSauv08_v1.1_Primary000028F.ver1.0.g386150.t01___SP_TM	10
VITVvi_vCabSauv08_v1.1_Haplotig000014F_023.ver1.0.g086680.t07___SP_TM	11
VITVvi_vCabSauv08_v1.1_Haplotig000024F_019.ver1.0.g114950.t01___SP_TM	11
VITVvi_vCabSauv08_v1.1_Haplotig000242F_002.ver1.0.g244220.t01___SP_TM	11
VITVvi_vCabSauv08_v1.1_Primary000000F.ver1.0.g256070.t01___SP_TM	11
VITVvi_vCabSauv08_v1.1_Primary000024F.ver1.0.g370700.t01___SP_TM	11
VITVvi_vCabSauv08_v1.1_Primary000153F.ver1.0.g537100.t03___TM	11
VITVvi_vCabSauv08_v1.1_Primary000242F.ver1.0.g577020.t02___SP_TM	11
VITVvi_vCabSauv08_v1.1_Primary000578F.ver1.0.g617750.t01___TM	11
VITVvi_vCabSauv08_v1.1_Haplotig000014F_023.ver1.0.g086680.t01___SP_TM	12
VITVvi_vCabSauv08_v1.1_Haplotig000028F_013.ver1.0.g124480.t01___SP_TM	12
VITVvi_vCabSauv08_v1.1_Haplotig000044F_005.ver1.0.g151550.t01___TM	12
VITVvi_vCabSauv08_v1.1_Haplotig000046F_003.ver1.0.g153310.t01___SP_TM	12
