#                                                                                                        --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                                 accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                                         ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
VITVvi_vCabSauv08_v1.1_Haplotig000027F_031.ver1.0.g122650.t01 -          LRR_8                PF13855.12  1.1e-136  444.3 271.8   2.7e-10   39.5   5.3  33.4  19  11  14  35  35  34  31 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000206F_002.ver1.0.g241850.t01 -          LRR_8                PF13855.12  3.2e-135  439.6 255.5   3.4e-13   48.8   2.1  31.6  12   6  23  37  37  36  36 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000107F_010.ver1.0.g208900.t01 -          LRR_8                PF13855.12  5.9e-131  426.0 343.8   1.3e-08   34.1   3.4  38.8  20  10  20  45  45  38  37 | TM
VITVvi_vCabSauv08_v1.1_Primary000107F.ver1.0.g497950.t01      -          LRR_8                PF13855.12  2.8e-128  417.4 285.2   1.7e-08   33.8   2.7  33.0  16   6  15  37  37  33  30 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000049F_003.ver1.0.g158130.t01 -          LRR_8                PF13855.12    1e-124  406.0 323.0   1.2e-10   40.6   7.5  37.3  17  10  23  43  43  40  35 | TM
VITVvi_vCabSauv08_v1.1_Primary000027F.ver1.0.g382690.t01      -          LRR_8                PF13855.12  1.4e-120  392.7 203.1   3.2e-09   36.1   4.4  26.3  16   8  10  27  27  27  26 | SP
VITVvi_vCabSauv08_v1.1_Haplotig000107F_010.ver1.0.g208750.t01 -          LRR_8                PF13855.12    5e-117  381.4 234.3   1.8e-08   33.7   3.1  29.2  16   9  11  30  30  29  25 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000107F.ver1.0.g497940.t01      -          LRR_8                PF13855.12    1e-114  374.0 219.5   3.2e-07   29.7   7.2  27.7  13   5  16  31  31  30  30 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000027F.ver1.0.g382630.t01      -          LRR_8                PF13855.12    1e-114  374.0 223.0   2.8e-09   36.3   5.8  27.9  14   7  19  34  34  34  26 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000031F_001.ver1.0.g131370.t01 -          LRR_8                PF13855.12  2.8e-114  372.6 224.7   4.2e-09   35.7   9.5  21.0  12   5  11  24  24  23  23 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000125F.ver1.0.g515100.t02      -          LRR_8                PF13855.12  2.5e-113  369.5 150.1   7.2e-12   44.6   1.8  20.8   5   5  20  25  25  24  24 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000027F_031.ver1.0.g122610.t01 -          LRR_8                PF13855.12  1.3e-112  367.2 218.0   3.7e-10   39.1   3.0  28.0  12   7  19  33  33  33  25 | TM
VITVvi_vCabSauv08_v1.1_Primary000125F.ver1.0.g515100.t01      -          LRR_8                PF13855.12  1.2e-111  364.2 149.5   8.8e-12   44.3   1.8  20.7   5   5  17  24  24  23  22 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000051F_010.ver1.0.g160080.t01 -          LRR_8                PF13855.12  2.6e-109  356.7 210.8   9.1e-08   31.4   3.8  24.7  13   5  12  27  27  27  26 | TM
VITVvi_vCabSauv08_v1.1_Primary000026F.ver1.0.g379290.t01      -          LRR_8                PF13855.12  5.3e-103  336.4 314.2   1.1e-08   34.3   6.4  39.3  16  12  29  48  48  44  32 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000095F.ver1.0.g483730.t01      -          LRR_8                PF13855.12  2.7e-102  334.2 226.9   7.6e-06   25.3   0.8  33.9  29   8   4  36  36  30  27 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000020F_003.ver1.0.g101900.t01 -          LRR_8                PF13855.12  1.9e-101  331.5 228.2   1.1e-07   31.2   3.4  32.1  21  10  11  35  35  30  25 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000120F.ver1.0.g510440.t01      -          LRR_8                PF13855.12   1.9e-98  321.9 212.3   1.2e-08   34.3   4.3  27.7  18  10   8  29  29  27  23 | TM
VITVvi_vCabSauv08_v1.1_Primary000105F.ver1.0.g496060.t01      -          LRR_8                PF13855.12   2.8e-96  314.9 215.7   1.6e-07   30.6   1.4  28.4  21   7  10  31  31  27  25 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000107F.ver1.0.g497870.t01      -          LRR_8                PF13855.12   4.7e-96  314.2 148.4   3.7e-08   32.7   4.3  19.7   8   6  15  24  24  23  23 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000125F_007.ver1.0.g219860.t01 -          LRR_8                PF13855.12   2.1e-95  312.1 214.4   2.9e-12   45.8   1.9  25.2  18   6  10  28  28  25  23 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000105F.ver1.0.g495960.t01      -          LRR_8                PF13855.12   3.8e-94  308.1 231.2     8e-09   34.8   4.6  29.4  19   7  11  32  32  26  23 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000169F.ver1.0.g547420.t01      -          LRR_8                PF13855.12   1.3e-92  303.2 307.1   2.6e-08   33.2   7.2  36.9  25  10  14  39  39  34  28 | TM
VITVvi_vCabSauv08_v1.1_Primary000218F.ver1.0.g570450.t01      -          LRR_8                PF13855.12   7.6e-91  297.5 191.1   1.2e-08   34.2   4.6  25.3  15   8  10  27  27  25  21 | TM
VITVvi_vCabSauv08_v1.1_Primary000096F.ver1.0.g485610.t01      -          LRR_8                PF13855.12   1.8e-89  293.1 262.5   2.7e-11   42.7   3.8  22.3   7   4  14  25  25  24  23 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000052F.ver1.0.g428390.t01      -          LRR_8                PF13855.12   1.4e-88  290.3 154.3   9.2e-09   34.6   0.7  20.5  15   5   4  22  22  19  19 | TM
VITVvi_vCabSauv08_v1.1_Primary000105F.ver1.0.g495970.t01      -          LRR_8                PF13855.12     2e-88  289.8 232.0   2.4e-08   33.3   3.6  27.7  14   6  14  31  31  28  24 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000027F.ver1.0.g382670.t01      -          LRR_8                PF13855.12   1.3e-86  284.0 126.8   7.5e-11   41.3   5.2  15.2   9   6   8  17  17  17  16 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000105F.ver1.0.g496070.t01      -          LRR_8                PF13855.12   1.7e-85  280.3 234.8   2.6e-08   33.2   3.6  28.9  17   6  13  33  33  28  22 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000048F.ver1.0.g422490.t01      -          LRR_8                PF13855.12   4.8e-85  279.0 199.2   1.3e-06   27.7   1.7  24.1   9   5  16  27  27  27  25 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000125F.ver1.0.g515200.t01      -          LRR_8                PF13855.12   2.3e-84  276.7 121.0   7.8e-13   47.7   1.5  17.3   8   7  11  20  20  19  19 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000095F_006.ver1.0.g198690.t01 -          LRR_8                PF13855.12   2.9e-83  273.2 220.1   2.3e-08   33.3  12.7  32.2  22  10  16  40  40  28  27 | TM
VITVvi_vCabSauv08_v1.1_Primary000197F.ver1.0.g561060.t01      -          LRR_8                PF13855.12   3.1e-83  273.1 160.6   7.5e-10   38.1   0.4  17.9  11   6   7  19  19  18  16 | TM
VITVvi_vCabSauv08_v1.1_Primary000038F.ver1.0.g405820.t01      -          LRR_8                PF13855.12   3.6e-83  272.9 241.9   1.8e-09   36.9   6.4  24.8  18   6   7  26  26  25  19 | TM
VITVvi_vCabSauv08_v1.1_Primary000224F.ver1.0.g572420.t01      -          LRR_8                PF13855.12   8.6e-82  268.5 165.0   1.7e-11   43.4   1.0  17.1   9   6   5  17  17  17  15 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000014F_032.ver1.0.g088150.t01 -          LRR_8                PF13855.12   2.5e-81  267.0 203.9   5.1e-08   32.2   2.8  29.1  20   8  12  33  33  26  21 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000095F.ver1.0.g483770.t01      -          LRR_8                PF13855.12   2.6e-81  267.0 260.8   3.5e-06   26.3   4.0  33.7  24  12  10  37  37  28  25 | TM
VITVvi_vCabSauv08_v1.1_Primary000051F.ver1.0.g426180.t01      -          LRR_8                PF13855.12   6.3e-81  265.7 158.6   2.1e-08   33.5   3.3  20.5   9   4  14  24  24  22  22 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000085F_005.ver1.0.g189150.t01 -          LRR_8                PF13855.12     3e-80  263.6 148.7   2.1e-08   33.4   0.0  19.0   8   3  14  24  24  22  22 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000095F_005.ver1.0.g197890.t01 -          LRR_8                PF13855.12   8.7e-80  262.1 189.5   6.4e-06   25.5   0.8  29.4  25   9   4  32  32  23  21 | TM
VITVvi_vCabSauv08_v1.1_Primary000125F.ver1.0.g515660.t01      -          LRR_8                PF13855.12   6.9e-79  259.2 149.0   6.2e-08   32.0   6.8  24.6  17   5   8  25  25  20  18 | SP+TM
VITVvi_vCabSauv08_v1.1_Haplotig000025F_005.ver1.0.g118030.t01 -          LRR_8                PF13855.12   5.1e-78  256.4 268.0   1.8e-06   27.3   7.6  23.7   8   3  16  28  28  27  25 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000052F.ver1.0.g427680.t01      -          LRR_8                PF13855.12   1.1e-76  252.2 184.2   5.4e-09   35.3   2.6  24.7  12   6  13  27  27  24  19 | SP+TM
VITVvi_vCabSauv08_v1.1_Primary000125F.ver1.0.g515090.t01      -          LRR_8                PF13855.12   1.2e-76  252.0  97.7   1.4e-11   43.6   1.3  15.5   9   6   5  15  15  14  13 | TM
VITVvi_vCabSauv08_v1.1_Haplotig000125F_008.ver1.0.g219900.t01 -          LRR_8                PF13855.12   1.1e-75  248.9 103.6   4.6e-11   42.0   3.8  15.9   6   5  12  18  18  16  14 | TM
