#                                                                                             --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                      accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                              ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
VITVvi_vZin03_v1.1_P14.ver1.0.g255970.p01          -          Pkinase              PF00069.31  3.9e-135  444.9   0.0   5.2e-45  149.5   0.0   3.3   3   0   0   3   3   3   3 | SP+TM
VITVvi_vZin03_v1.1_P14.ver1.0.g256040.p01          -          Pkinase              PF00069.31  6.8e-125  411.4   0.0   4.4e-44  146.4   0.0   3.3   3   0   0   3   3   3   3 | SP+TM
VITVvi_vZin03_v1.1_P14.ver1.0.g256020.p01          -          Pkinase              PF00069.31  1.5e-109  361.1   0.0   4.3e-42  139.9   0.0   4.2   3   1   1   4   4   4   4 | SP+TM
VITVvi_vZin03_v1.1_P14.ver1.0.g256030.p01          -          Pkinase              PF00069.31  2.1e-109  360.6   0.0   9.9e-45  148.6   0.0   4.1   3   1   0   3   3   3   3 | TM
VITVvi_vZin03_v1.1_P14.ver1.0.g256000.p01          -          Pkinase              PF00069.31   1.7e-91  301.9   0.0   2.3e-45  150.6   0.0   2.4   2   0   0   2   2   2   2 | SP+TM
VITVvi_vZin03_v1.1_P53.ver1.0.g452840.p01          -          Pkinase              PF00069.31   5.3e-90  297.0   0.1   1.5e-45  151.2   0.0   2.2   2   0   0   2   2   2   2 | SP+TM
VITVvi_vZin03_v1.1_H000057F_001.ver1.0.g098170.p01 -          Pkinase              PF00069.31   1.4e-67  223.5   0.0   3.2e-47  156.7   0.0   2.2   2   0   0   2   2   2   2 | TM
VITVvi_vZin03_v1.1_P298.ver1.0.g364100.p01         -          Pkinase              PF00069.31   2.8e-65  215.9   0.1   2.4e-44  147.3   0.0   2.2   1   1   1   2   2   2   2 | SP+TM
VITVvi_vZin03_v1.1_H000013F_002.ver1.0.g040880.p01 -          Pkinase              PF00069.31     6e-62  205.0   0.1   1.7e-45  151.0   0.0   2.4   2   0   0   2   2   2   2 | TM
VITVvi_vZin03_v1.1_P2.ver1.0.g309620.p01           -          Pkinase              PF00069.31   5.5e-52  172.3   0.2   7.5e-52  171.9   0.2   1.1   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P298.ver1.0.g364000.p01         -          Pkinase              PF00069.31     2e-51  170.5   0.2   2.9e-51  170.0   0.2   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000008F_010.ver1.0.g029130.p01 -          Pkinase              PF00069.31     9e-51  168.4   0.0   1.4e-50  167.8   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P489.ver1.0.g438880.p01         -          Pkinase              PF00069.31   2.1e-50  167.2   0.0     3e-50  166.6   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P120.ver1.0.g237110.p01         -          Pkinase              PF00069.31   3.1e-50  166.6   0.0   4.6e-50  166.1   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P80.ver1.0.g503650.p01          -          Pkinase              PF00069.31   3.1e-50  166.6   0.0   4.5e-50  166.1   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P2.ver1.0.g309650.p01           -          Pkinase              PF00069.31   3.9e-50  166.3   0.1   5.9e-50  165.7   0.1   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P14.ver1.0.g255870.p01          -          Pkinase              PF00069.31   4.8e-50  166.0   0.0   6.8e-50  165.5   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P120.ver1.0.g237100.p01         -          Pkinase              PF00069.31   5.6e-50  165.8   0.0   8.6e-50  165.2   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P298.ver1.0.g363980.p01         -          Pkinase              PF00069.31   6.7e-50  165.5   0.1   9.3e-50  165.0   0.1   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_H000040F_002.ver1.0.g075950.p01 -          Pkinase              PF00069.31     7e-50  165.4   0.0     1e-49  164.9   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P49.ver1.0.g439430.p01          -          Pkinase              PF00069.31   8.1e-50  165.2   0.0   1.5e-49  164.3   0.0   1.4   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000057F_001.ver1.0.g098290.p01 -          Pkinase              PF00069.31   8.2e-50  165.2   0.0   1.5e-49  164.3   0.0   1.4   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P49.ver1.0.g439470.p01          -          Pkinase              PF00069.31   8.8e-50  165.1   0.0   4.9e-49  162.7   0.0   1.9   2   0   0   2   2   1   1 | TM
VITVvi_vZin03_v1.1_P409.ver1.0.g413650.p01         -          Pkinase              PF00069.31   9.4e-50  165.0   0.0   1.4e-49  164.5   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P405.ver1.0.g413080.p01         -          Pkinase              PF00069.31     1e-49  164.9   0.0   1.4e-49  164.5   0.0   1.1   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_P409.ver1.0.g413600.p01         -          Pkinase              PF00069.31   1.2e-49  164.7   0.0   1.8e-49  164.1   0.0   1.2   1   0   0   1   1   1   1 | TM
VITVvi_vZin03_v1.1_H000040F_002.ver1.0.g075940.p01 -          Pkinase              PF00069.31   1.2e-49  164.6   0.0   1.8e-49  164.1   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P34.ver1.0.g384550.p01          -          Pkinase              PF00069.31   1.2e-49  164.6   0.0   1.8e-49  164.1   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P34.ver1.0.g384560.p01          -          Pkinase              PF00069.31   1.6e-49  164.3   0.0   2.3e-49  163.7   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P19.ver1.0.g303210.p01          -          Pkinase              PF00069.31   2.1e-49  163.9   0.0   2.8e-49  163.5   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P477.ver1.0.g436510.p01         -          Pkinase              PF00069.31   2.1e-49  163.9   0.0   2.8e-49  163.5   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P188.ver1.0.g302650.p01         -          Pkinase              PF00069.31     3e-49  163.4   0.0   4.2e-49  162.9   0.0   1.1   1   0   0   1   1   1   1 | SP+TM
VITVvi_vZin03_v1.1_P3.ver1.0.g367860.p01           -          Pkinase              PF00069.31   3.2e-49  163.3   0.0   4.8e-49  162.7   0.0   1.2   1   0   0   1   1   1   1 | SP+TM
