#                                                                                             --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                      accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                              ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
VITVvi_vZin03_v1.1_P68.ver1.0.g485320.p01          -          LRR_2                PF07723.19   6.6e-06   25.6   7.6       3.4    7.5   0.0   7.7   7   0   0   7   7   4   2 | SP
VITVvi_vZin03_v1.1_H000079F_014.ver1.0.g113870.p01 -          LRR_2                PF07723.19   4.7e-05   22.9   1.8     0.048   13.4   0.1   6.0   7   0   0   7   7   1   1 | SP+TM
VITVvi_vZin03_v1.1_P119.ver1.0.g232200.p01         -          LRR_2                PF07723.19     6e-05   22.6  20.6        11    6.0   0.0  12.0  14   0   0  14  14   5   0 | SP+TM
VITVvi_vZin03_v1.1_P127.ver1.0.g241740.p01         -          LRR_2                PF07723.19   9.1e-05   22.0   5.0        34    4.4   0.0   9.5   8   0   0   8   8   3   0 | TM
VITVvi_vZin03_v1.1_P68.ver1.0.g484920.p01          -          LRR_2                PF07723.19   0.00019   21.0   0.8     0.073   12.8   0.1   5.3   6   0   0   6   6   1   1 | SP+TM
VITVvi_vZin03_v1.1_H000006F_023.ver1.0.g026650.p01 -          LRR_2                PF07723.19   0.00019   21.0   0.0        11    5.9   0.0   5.7   6   0   0   6   6   2   0 | SP
VITVvi_vZin03_v1.1_P89.ver1.0.g519300.p01          -          LRR_2                PF07723.19   0.00051   19.6   1.7         9    6.2   0.1   5.8   5   0   0   5   5   2   0 | SP
VITVvi_vZin03_v1.1_P339.ver1.0.g384140.p01         -          LRR_2                PF07723.19   0.00056   19.5   0.9        73    3.3   0.0   6.4   6   0   0   6   6   3   0 | TM
VITVvi_vZin03_v1.1_P272.ver1.0.g353670.p01         -          LRR_2                PF07723.19    0.0018   17.9   4.9        80    3.2   0.0   8.3  10   0   0  10  10   3   0 | SP+TM
VITVvi_vZin03_v1.1_P124.ver1.0.g240640.p01         -          LRR_2                PF07723.19    0.0018   17.9   0.4        47    3.9   0.0   6.6   7   0   0   7   7   2   0 | SP
VITVvi_vZin03_v1.1_P135.ver1.0.g250040.p01         -          LRR_2                PF07723.19    0.0018   17.9   9.5       8.6    6.3   0.0   7.5   8   0   0   8   8   3   0 | SP+TM
VITVvi_vZin03_v1.1_P272.ver1.0.g353490.p01         -          LRR_2                PF07723.19    0.0019   17.8   4.9        78    3.2   0.0   8.2  10   0   0  10  10   3   0 | SP+TM
VITVvi_vZin03_v1.1_P124.ver1.0.g240660.p01         -          LRR_2                PF07723.19    0.0029   17.2   3.0        17    5.3   0.0   6.6   8   0   0   8   8   2   0 | SP+TM
