#                                                                                             --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name                                      accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#                              ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
VITVvi_vZin03_v1.1_P127.ver1.0.g241740.p01         -          LRR_8                PF13855.12  7.5e-104  338.5 199.0     4e-09   35.1   5.0  26.2  18   8   7  26  26  25  21 | TM
VITVvi_vZin03_v1.1_P76.ver1.0.g497560.p01          -          LRR_8                PF13855.12   1.4e-97  318.4 201.5   2.3e-10   39.1   8.5  17.2   8   4  10  19  19  18  18 | SP+TM
VITVvi_vZin03_v1.1_H000019F_012.ver1.0.g053970.p01 -          LRR_8                PF13855.12     4e-80  262.6 107.3   1.1e-11   43.4   1.3  16.4  10   6   5  16  16  15  15 | SP+TM
VITVvi_vZin03_v1.1_P398.ver1.0.g403150.p01         -          LRR_8                PF13855.12   6.6e-77  252.2 124.5     9e-09   34.0   3.5  17.8  11   5   7  18  18  18  16 | SP+TM
VITVvi_vZin03_v1.1_P28.ver1.0.g357670.p01          -          LRR_8                PF13855.12   1.1e-72  238.7 121.1   2.2e-09   36.0   3.5  14.9   6   3  11  18  18  18  18 | TM
VITVvi_vZin03_v1.1_P87.ver1.0.g515400.p01          -          LRR_8                PF13855.12   6.6e-72  236.2 145.4   5.5e-09   34.7   4.9  16.4  11   6   9  20  20  18  16 | TM
VITVvi_vZin03_v1.1_P28.ver1.0.g356210.p01          -          LRR_8                PF13855.12   1.4e-71  235.2  80.2   1.5e-10   39.7   2.0  12.7   5   4   8  14  14  14  14 | SP+TM
VITVvi_vZin03_v1.1_P407.ver1.0.g413240.p01         -          LRR_8                PF13855.12   1.6e-69  228.6 121.4   1.4e-09   36.6   2.5  14.6   8   3   6  16  16  15  15 | TM
VITVvi_vZin03_v1.1_P73.ver1.0.g495420.p01          -          LRR_8                PF13855.12   1.2e-68  225.8 197.6   1.8e-11   42.7   4.9  17.9   5   3  13  19  19  19  19 | SP+TM
VITVvi_vZin03_v1.1_P74.ver1.0.g495780.p01          -          LRR_8                PF13855.12   1.3e-68  225.7 106.5   8.9e-08   30.8   3.2  15.4  11   4   2  15  15  14  14 | SP+TM
VITVvi_vZin03_v1.1_P240.ver1.0.g338700.p01         -          LRR_8                PF13855.12   1.4e-68  225.6 141.0   4.2e-09   35.1   8.9  16.3   6   5   6  17  17  16  15 | TM
VITVvi_vZin03_v1.1_P407.ver1.0.g413230.p01         -          LRR_8                PF13855.12     4e-68  224.1 125.0   2.8e-09   35.6   2.6  15.0   7   3   9  17  17  16  16 | TM
VITVvi_vZin03_v1.1_P398.ver1.0.g403160.p01         -          LRR_8                PF13855.12   2.9e-67  221.4 215.7   9.6e-09   33.9   2.8  14.7   4   2  18  23  23  22  22 | TM
VITVvi_vZin03_v1.1_P138.ver1.0.g251740.p01         -          LRR_8                PF13855.12   4.5e-66  217.5 128.8   5.8e-10   37.8   0.6  15.9  10   5   6  16  16  14  14 | SP+TM
VITVvi_vZin03_v1.1_P28.ver1.0.g357680.p01          -          LRR_8                PF13855.12   7.7e-65  213.6 130.6   2.4e-09   35.9   2.1  15.3   5   4  14  21  21  20  20 | TM
VITVvi_vZin03_v1.1_P171.ver1.0.g289350.p01         -          LRR_8                PF13855.12   8.3e-64  210.3 114.5   1.1e-09   36.9   1.0  15.4   6   4  12  18  18  17  16 | SP
VITVvi_vZin03_v1.1_P152.ver1.0.g270960.p01         -          LRR_8                PF13855.12   1.1e-63  210.0  96.3   3.1e-08   32.3   1.6  12.7   7   2   7  15  15  15  15 | TM
VITVvi_vZin03_v1.1_P127.ver1.0.g241810.p01         -          LRR_8                PF13855.12   2.2e-63  208.9 106.7   8.8e-09   34.0   5.1  15.1   9   4   6  16  16  16  14 | SP+TM
VITVvi_vZin03_v1.1_P240.ver1.0.g338600.p01         -          LRR_8                PF13855.12   2.4e-63  208.8 139.7   7.8e-09   34.2   9.6  16.3   6   4  14  21  21  20  18 | SP+TM
VITVvi_vZin03_v1.1_H000448F_001.ver1.0.g193600.p01 -          LRR_8                PF13855.12     3e-63  208.5 127.0   2.4e-08   32.6   7.3  16.5   8   5   5  15  15  15  12 | TM
VITVvi_vZin03_v1.1_P128.ver1.0.g241860.p01         -          LRR_8                PF13855.12   1.1e-62  206.6 232.1   5.5e-10   37.9   4.4  19.0   7   5  13  23  23  23  22 | SP+TM
VITVvi_vZin03_v1.1_P240.ver1.0.g338620.p01         -          LRR_8                PF13855.12   1.5e-62  206.3 142.1   8.3e-09   34.1   5.2  15.8   8   4  10  19  19  19  18 | SP+TM
VITVvi_vZin03_v1.1_P74.ver1.0.g495760.p01          -          LRR_8                PF13855.12   1.6e-62  206.1 113.7   4.4e-09   35.0   7.6  15.6   8   3   8  17  17  16  15 | TM
VITVvi_vZin03_v1.1_H001003F_001.ver1.0.g199210.p01 -          LRR_8                PF13855.12   3.5e-62  205.1  96.5   3.8e-08   32.0   0.4  13.7   8   2   4  13  13  12  12 | TM
VITVvi_vZin03_v1.1_P266.ver1.0.g350340.p01         -          LRR_8                PF13855.12     5e-62  204.6  78.4   5.2e-10   38.0   8.1  12.2   7   4   4  12  12  11  11 | SP+TM
VITVvi_vZin03_v1.1_P507.ver1.0.g448150.p01         -          LRR_8                PF13855.12   8.4e-62  203.9  78.0   8.3e-10   37.3   7.5  12.2   7   4   4  12  12  11  11 | SP+TM
VITVvi_vZin03_v1.1_H000019F_012.ver1.0.g053860.p01 -          LRR_8                PF13855.12   2.8e-60  199.0  80.5   5.1e-09   34.8   6.7  12.2   8   3   3  12  12  11   9 | SP
VITVvi_vZin03_v1.1_P22.ver1.0.g327880.p01          -          LRR_8                PF13855.12   3.2e-60  198.8 118.5   1.4e-08   33.4   2.1  15.1   7   5   7  16  16  15  14 | SP
VITVvi_vZin03_v1.1_P423.ver1.0.g421190.p01         -          LRR_8                PF13855.12   4.5e-60  198.3 119.0   1.5e-08   33.3   2.1  15.1   7   5   7  16  16  15  14 | SP+TM
VITVvi_vZin03_v1.1_P240.ver1.0.g338640.p01         -          LRR_8                PF13855.12   6.3e-60  197.9  90.6     5e-10   38.0   8.2  12.4   7   4   5  13  13  13  11 | SP
VITVvi_vZin03_v1.1_P240.ver1.0.g338580.p01         -          LRR_8                PF13855.12   7.3e-60  197.6 115.3   4.2e-09   35.1   8.3  15.0   8   6   7  15  15  15  13 | TM
VITVvi_vZin03_v1.1_P73.ver1.0.g495410.p01          -          LRR_8                PF13855.12   4.3e-59  195.2 206.2   2.7e-07   29.3   7.2  17.6   5   4  15  23  23  23  22 | SP+TM
VITVvi_vZin03_v1.1_P456.ver1.0.g429780.p01         -          LRR_8                PF13855.12   4.5e-59  195.1 108.8   4.7e-12   44.5   0.3  13.8   5   4  10  16  16  13  13 | SP+TM
VITVvi_vZin03_v1.1_P119.ver1.0.g232200.p01         -          LRR_8                PF13855.12   5.7e-59  194.8 153.5     2e-10   39.3   8.1  15.5   6   3  10  17  17  17  17 | SP+TM
VITVvi_vZin03_v1.1_P128.ver1.0.g241870.p01         -          LRR_8                PF13855.12   6.4e-59  194.6 147.2   2.6e-11   42.1   2.7  14.9  11   2   4  16  16  15  14 | SP+TM
VITVvi_vZin03_v1.1_H000086F_006.ver1.0.g120450.p01 -          LRR_8                PF13855.12     8e-59  194.3 206.1   2.7e-07   29.3   7.2  17.6   5   4  14  22  22  22  21 | SP+TM
VITVvi_vZin03_v1.1_P440.ver1.0.g426480.p01         -          LRR_8                PF13855.12   1.2e-57  190.5 109.0   2.1e-08   32.8   3.8  13.2   6   3   6  13  13  13  13 | TM
VITVvi_vZin03_v1.1_P87.ver1.0.g516400.p01          -          LRR_8                PF13855.12   5.6e-57  188.4  93.2   1.4e-08   33.4   4.4  13.0   8   3   3  12  12  11  11 | SP+TM
VITVvi_vZin03_v1.1_P259.ver1.0.g346060.p01         -          LRR_8                PF13855.12   8.9e-57  187.8  98.5   5.1e-09   34.8   4.8  13.8   8   3   5  14  14  13  12 | SP+TM
VITVvi_vZin03_v1.1_P87.ver1.0.g516360.p01          -          LRR_8                PF13855.12   1.1e-56  187.5  98.3   3.8e-08   32.0   1.2  14.8  12   3   2  14  14  12  12 | SP+TM
VITVvi_vZin03_v1.1_H000084F_006.ver1.0.g118420.p01 -          LRR_8                PF13855.12   1.4e-56  187.1  80.9   3.4e-09   35.3   3.0  11.3   6   5   5  12  12  12  12 | SP+TM
VITVvi_vZin03_v1.1_H000464F_001.ver1.0.g194380.p01 -          LRR_8                PF13855.12   1.7e-56  186.9  97.5   2.4e-08   32.7   0.9  13.4   8   3   5  14  14  13  13 | TM
VITVvi_vZin03_v1.1_P66.ver1.0.g481640.p01          -          LRR_8                PF13855.12   2.7e-56  186.2 117.9   2.2e-09   36.0   0.9  15.6   7   5   9  17  17  16  15 | SP+TM
VITVvi_vZin03_v1.1_H000084F_004.ver1.0.g118330.p01 -          LRR_8                PF13855.12     3e-56  186.1  82.5   9.5e-10   37.1   6.0  11.9   6   4   9  15  15  15  13 | SP
VITVvi_vZin03_v1.1_H000464F_001.ver1.0.g194300.p01 -          LRR_8                PF13855.12   4.1e-56  185.7 102.7   1.8e-08   33.0   3.8  12.9   6   3   9  15  15  14  14 | TM
VITVvi_vZin03_v1.1_P5.ver1.0.g445190.p01           -          LRR_8                PF13855.12   5.7e-56  185.2 122.4   2.8e-11   42.0   3.7  14.8   7   4   8  16  16  16  15 | SP+TM
